Place,Date,Designation,Review
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Ciudad Juárez, Chih.",2018-09-29,tecnico de calidad NPI,en esta empresa aprendi muchas cosas tanto en lo laboral asi como en lo economico.
"Ciudad Juárez, Chih.",2018-09-25,tecnico en reparacion,e aprendido detectar fallas en los servidores y reparar servidores  aplicando método correctivo por componentes que no pasan pruebas de estrés
"Várzea Paulista, SP",2018-09-18,auxiliar de produção,Só tenho a agradecer pela oportunidade dada nesses 3 anos e meio que fiquei lá pude adquirir muito para minha vida  pessoalmente e  como profissional também
"Jundiaí, SP",2018-09-18,Operador de Manufatura,Uma empresa boaLá fazia celularesÉ  uma empresa bem recomendada
"Jundiaí, SP",2018-09-17,Operador de Reparos I,"Uma das melhores empresas que já trabalhei em minha vida profissional.Ambienta agradável, um bom relacionamento com a chefia/gerência foram os pontos fortes nesse período em que eu permaneci na empresa.Além disso, oferecia ótimos benefícios, portanto, me sentia sempre confortável em fazer parte do quadro de funcionários da empresa."
"Chihuahua, Chih.",2018-09-17,Empaque,"Buen ambiente de trabajo, con buena comida y apoyo al deporte."
distrito industrial Jundiai,2018-09-14,opeardor de maquina III,"todas avaliação são analise pelo operador acabe nós ser sincero e responder com etca e clareza sobre a empresa, parabens pela dedicação nos meus 8 anos de casa, nunca tive problema com empresa fiz por eu gostava de trabalha nela, ate ajuda na area sobre funcionario que processava empresa participe muitas audencia a favor a empresa. Sem nada a reclama da empresa.Indique para quem gosta de trabalha mesmo."
"Ciudad Juárez, Chih.",2018-09-12,Purchasing Leader,"un dia tipico en el trabajo era revisar reportes de cortos con master scheduling y compradores a mi cargo, revisar niveles de inventarios, revision semanal con el cliente del OTD de proveedores, buscar alternativas de materiales cuando un componente no iba a llegar.la cultura laboral china es en si un poco cuadrado y no querian que buscaramos formas de optimizar."
"Jundiaí, SP",2018-09-12,Operador de Produção,"empresa dinãmica e agradável de trabalhar..crescimento profissional,onde podemos atuar em diversas aréas..e aperfeicoar meus conhecimentos , com grandes perpectiva"
"Houston, TX",2018-09-10,Repair Tech,This was my first job. Not much to say about this job. Its a good job for teenagers and good beginner job they dont pay much and its a good start for young people.
"Jundiaí, SP",2018-09-10,Operador (a) de Qualidade III,"Uma ótima empresa para trabalhar, oferece muitos benefícios, opções de crescimento ."
"Jundiaí, SP",2018-09-10,Operadora de Produção,Empresa ecelente de se trabalhar com muitos beneficios e muito organizada com seus funcionarios muito bom
"Ciudad Juárez, Chih.",2018-09-06,coordinadora rh,"mejorar el salario ,y prestaciones . tienen buen liderazgo y oportunidades de crecimiento"
"ciudad juarez, Chihuahua",2018-09-03,SOFTWARE ENGINEER,"Nice place to work ,  long distance to drive your car. Too much security  and low pay. Very friendly environment with peers and people in your area. Developing software was  one of the most enjoyable times."
Bắc Ninh,2018-09-02,Leader,Quy trình quản lý và sản xuất khoa học hiệu quả. Máy móc cũ hỏng hóc nhiều nên đa phần kỹ sư tại đây đều rất giỏi sau khi đã làm việc từ 2 năm trở lên
"Jundiaí, SP",2018-08-27,Operadora de producao / operadora de qualidade,"Foi uma empresa que aprendi muito , pois a mesma e muito bom trabalhar nela, pois tive a chance de crescer  proficionalmente la dentro onde de producao fui pra qualidade ."
